loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,fico_mean,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,target
9600.0,36.0,12.99,323.42,C,C1,0.0,RENT,21900.0,Verified,debt_consolidation,10.03,0.0,687.0,1.0,13.0,1.0,4509.0,38.9,20.0,0
4000.0,36.0,6.68,122.93,A,A3,4.0,MORTGAGE,83000.0,Not Verified,major_purchase,19.53,0.0,782.0,0.0,16.0,0.0,1564.0,17.2,25.0,0
6025.0,36.0,10.91,197.0,B,B4,10.0,RENT,52000.0,Not Verified,debt_consolidation,9.16,1.0,742.0,1.0,11.0,0.0,2706.0,12.8,25.0,0
20000.0,36.0,9.49,640.57,B,B2,10.0,MORTGAGE,100000.0,Not Verified,debt_consolidation,16.43,1.0,697.0,0.0,15.0,0.0,20440.0,56.3,32.0,0
1000.0,36.0,8.18,31.42,B,B1,0.0,RENT,23000.0,Verified,debt_consolidation,16.34,1.0,682.0,0.0,6.0,0.0,3237.0,77.1,38.0,0
24575.0,60.0,14.49,578.08,C,C4,5.0,RENT,120000.0,Source Verified,credit_card,17.4,0.0,682.0,0.0,14.0,0.0,18320.0,80.0,21.0,0
7000.0,36.0,6.99,216.11,A,A2,5.0,RENT,41000.0,Source Verified,house,16.54,0.0,757.0,0.0,13.0,0.0,6140.0,15.4,22.0,0
16000.0,36.0,7.07,494.55,A,A2,8.0,MORTGAGE,50000.0,Not Verified,debt_consolidation,22.19,0.0,777.0,0.0,7.0,0.0,5180.0,20.3,9.0,0
10000.0,36.0,14.31,343.29,C,C4,7.0,OWN,78000.0,Not Verified,debt_consolidation,22.95,0.0,672.0,0.0,16.0,0.0,48407.0,83.9,32.0,0
16000.0,60.0,10.99,347.8,B,B3,2.0,MORTGAGE,73000.0,Not Verified,debt_consolidation,18.71,0.0,807.0,1.0,12.0,0.0,4190.0,5.8,35.0,0
16000.0,36.0,12.99,539.03,C,C2,10.0,MORTGAGE,97000.0,Source Verified,credit_card,8.73,0.0,697.0,0.0,25.0,0.0,12215.0,29.1,46.0,0
12000.0,36.0,19.99,445.91,D,D4,5.0,RENT,80000.0,Verified,small_business,4.79,0.0,682.0,0.0,3.0,1.0,37.0,2.6,6.0,0
12000.0,60.0,13.99,279.16,C,C4,4.0,MORTGAGE,55000.0,Verified,debt_consolidation,21.56,0.0,697.0,2.0,16.0,0.0,17609.0,38.5,25.0,1
8000.0,36.0,12.69,268.36,C,C2,6.0,RENT,40500.0,Source Verified,credit_card,12.68,0.0,702.0,2.0,7.0,0.0,8612.0,49.5,9.0,0
35000.0,60.0,22.47,976.04,E,E5,1.0,OWN,135000.0,Source Verified,credit_card,14.93,0.0,687.0,0.0,14.0,0.0,12148.0,94.9,49.0,0
12375.0,60.0,24.5,359.61,F,F3,10.0,RENT,45000.0,Verified,debt_consolidation,15.87,0.0,672.0,0.0,13.0,1.0,10067.0,67.6,23.0,1
6000.0,36.0,11.14,196.84,B,B2,2.0,MORTGAGE,88000.0,Not Verified,debt_consolidation,17.37,0.0,682.0,1.0,9.0,0.0,17343.0,91.3,19.0,0
8000.0,36.0,16.02,281.34,C,C5,10.0,MORTGAGE,88000.0,Source Verified,debt_consolidation,28.6,0.0,702.0,0.0,20.0,0.0,5333.0,25.8,38.0,0
18000.0,60.0,13.98,418.65,C,C3,10.0,OWN,60000.0,Not Verified,debt_consolidation,20.52,0.0,737.0,3.0,13.0,0.0,16018.0,52.2,46.0,1
4000.0,36.0,14.08,136.87,C,C3,4.0,MORTGAGE,43200.0,Source Verified,debt_consolidation,15.17,3.0,687.0,1.0,10.0,0.0,2968.0,74.2,18.0,0
6000.0,36.0,13.99,205.04,C,C4,10.0,RENT,37000.0,Source Verified,other,13.95,0.0,672.0,0.0,14.0,1.0,7707.0,64.8,21.0,0
3925.0,36.0,12.79,131.86,C,C1,10.0,MORTGAGE,50000.0,Not Verified,car,4.3,1.0,667.0,1.0,12.0,1.0,666.0,4.0,33.0,0
8000.0,36.0,15.99,281.22,C,C5,10.0,RENT,50000.0,Verified,debt_consolidation,24.48,0.0,682.0,0.0,6.0,3.0,10788.0,81.1,14.0,0
14500.0,36.0,13.33,490.88,C,C3,2.0,MORTGAGE,65000.0,Verified,debt_consolidation,17.13,0.0,662.0,0.0,10.0,0.0,13493.0,87.1,22.0,0
20000.0,36.0,12.29,667.06,C,C1,10.0,MORTGAGE,80000.0,Not Verified,debt_consolidation,27.9,1.0,697.0,1.0,7.0,0.0,20709.0,82.2,18.0,1
21000.0,36.0,12.29,700.42,C,C1,10.0,RENT,67000.0,Verified,renewable_energy,17.38,0.0,697.0,2.0,8.0,0.0,14929.0,58.5,21.0,0
28000.0,36.0,5.32,843.22,A,A1,10.0,MORTGAGE,95000.0,Not Verified,credit_card,15.9,0.0,772.0,0.0,10.0,0.0,84415.0,52.3,27.0,0
15000.0,36.0,6.03,456.54,A,A1,10.0,MORTGAGE,130000.0,Not Verified,debt_consolidation,20.23,0.0,777.0,0.0,13.0,0.0,15631.0,34.5,25.0,0
15000.0,36.0,12.74,503.54,C,C1,10.0,MORTGAGE,70000.0,Verified,credit_card,28.84,0.0,717.0,1.0,24.0,1.0,14943.0,37.4,35.0,1
14400.0,36.0,10.41,467.43,B,B3,10.0,MORTGAGE,97000.0,Source Verified,debt_consolidation,29.94,0.0,702.0,1.0,20.0,0.0,40317.0,70.9,36.0,0
17600.0,36.0,20.2,655.88,E,E3,5.0,MORTGAGE,44200.0,Source Verified,debt_consolidation,17.24,0.0,672.0,2.0,10.0,0.0,4786.0,59.8,14.0,0
18000.0,60.0,14.65,424.92,C,C5,3.0,RENT,60000.0,Not Verified,debt_consolidation,10.91,0.0,702.0,0.0,10.0,0.0,6548.0,14.9,17.0,0
11200.0,60.0,13.99,260.55,C,C4,10.0,MORTGAGE,44000.0,Source Verified,debt_consolidation,7.88,0.0,712.0,0.0,7.0,0.0,5565.0,74.2,14.0,1
20000.0,36.0,15.99,703.05,C,C5,7.0,MORTGAGE,37000.0,Verified,debt_consolidation,40.84,0.0,687.0,1.0,11.0,0.0,13761.0,99.0,15.0,0
8400.0,36.0,13.59,285.43,C,C2,5.0,RENT,70000.0,Verified,debt_consolidation,33.58,0.0,682.0,1.0,15.0,1.0,15904.0,61.9,16.0,1
7000.0,36.0,6.39,214.2,A,A2,0.0,RENT,81000.0,Source Verified,debt_consolidation,22.1,0.0,742.0,0.0,15.0,0.0,4104.0,17.5,28.0,0
7000.0,36.0,9.91,225.58,B,B1,5.0,MORTGAGE,156000.0,Verified,debt_consolidation,6.42,0.0,702.0,0.0,8.0,0.0,4082.0,72.5,10.0,0
8000.0,36.0,10.49,259.99,B,B2,10.0,MORTGAGE,60000.0,Source Verified,home_improvement,13.86,1.0,712.0,0.0,8.0,0.0,21009.0,82.1,29.0,0
16000.0,60.0,15.8,387.4,C,C3,9.0,MORTGAGE,62200.0,Source Verified,debt_consolidation,21.2,0.0,702.0,1.0,9.0,0.0,19997.0,78.0,29.0,0
10000.0,36.0,12.49,334.49,B,B5,5.0,RENT,55000.0,Not Verified,debt_consolidation,14.12,3.0,662.0,1.0,9.0,0.0,8367.0,73.4,27.0,0
12225.0,60.0,28.34,383.15,G,G3,10.0,MORTGAGE,50000.0,Source Verified,debt_consolidation,8.45,0.0,682.0,1.0,8.0,0.0,10125.0,61.7,11.0,1
18000.0,36.0,6.39,550.79,A,A2,10.0,OWN,92000.0,Verified,debt_consolidation,15.94,0.0,757.0,0.0,12.0,0.0,12006.0,28.9,27.0,0
25000.0,60.0,24.99,733.64,E,E4,2.0,RENT,74899.0,Not Verified,debt_consolidation,31.41,0.0,662.0,0.0,16.0,0.0,20000.0,57.6,21.0,0
40000.0,36.0,8.59,1264.38,A,A5,10.0,OWN,145000.0,Source Verified,debt_consolidation,7.91,0.0,727.0,0.0,18.0,0.0,34793.0,29.6,37.0,0
25000.0,36.0,5.32,752.87,A,A1,4.0,MORTGAGE,72000.0,Not Verified,debt_consolidation,15.33,1.0,712.0,0.0,9.0,0.0,19038.0,50.8,21.0,0
10000.0,36.0,19.24,367.78,E,E2,2.0,RENT,56000.0,Source Verified,debt_consolidation,16.76,0.0,677.0,1.0,15.0,0.0,6236.0,40.0,25.0,0
10000.0,36.0,6.92,308.41,A,A4,10.0,MORTGAGE,40000.0,Source Verified,debt_consolidation,14.58,0.0,702.0,1.0,14.0,0.0,7857.0,33.4,20.0,0
12000.0,36.0,14.64,413.88,C,C3,10.0,MORTGAGE,95000.0,Source Verified,moving,5.77,5.0,662.0,0.0,8.0,0.0,6608.0,77.7,22.0,0
6650.0,36.0,19.72,246.2,D,D5,2.0,RENT,24343.0,Verified,other,13.8,0.0,677.0,3.0,10.0,0.0,7585.0,46.8,11.0,1
7500.0,36.0,13.99,256.3,C,C4,5.0,MORTGAGE,40229.0,Source Verified,credit_card,6.15,0.0,672.0,0.0,6.0,0.0,6671.0,96.7,7.0,0
28675.0,36.0,7.89,897.12,A,A5,8.0,RENT,150000.0,Source Verified,credit_card,11.12,1.0,677.0,1.0,10.0,0.0,38512.0,74.2,33.0,0
11200.0,60.0,21.99,309.27,E,E5,8.0,RENT,75000.0,Verified,debt_consolidation,17.76,0.0,662.0,1.0,12.0,1.0,8600.0,77.5,32.0,1
25000.0,36.0,19.05,917.04,D,D4,10.0,MORTGAGE,137500.0,Source Verified,debt_consolidation,12.53,0.0,687.0,0.0,11.0,2.0,3664.0,79.7,18.0,0
20000.0,36.0,13.99,683.46,C,C3,10.0,MORTGAGE,75000.0,Not Verified,credit_card,21.84,0.0,697.0,1.0,7.0,0.0,16181.0,85.6,28.0,0
34875.0,36.0,18.25,1265.2,D,D3,6.0,RENT,100000.0,Source Verified,house,12.49,0.0,707.0,3.0,10.0,0.0,19749.0,57.1,17.0,0
8000.0,36.0,13.99,273.39,C,C3,3.0,RENT,90000.0,Source Verified,other,14.21,0.0,677.0,1.0,8.0,1.0,4572.0,42.7,16.0,0
10000.0,36.0,12.35,333.82,B,B4,10.0,MORTGAGE,34000.0,Verified,debt_consolidation,25.27,0.0,707.0,1.0,14.0,0.0,4855.0,32.4,44.0,0
9100.0,36.0,10.15,294.28,B,B2,1.0,MORTGAGE,36000.0,Not Verified,credit_card,8.67,0.0,697.0,2.0,13.0,0.0,6753.0,22.7,14.0,0
9600.0,36.0,7.49,298.58,A,A4,1.0,MORTGAGE,40000.0,Not Verified,debt_consolidation,10.32,0.0,697.0,0.0,10.0,0.0,7740.0,45.8,12.0,0
20000.0,36.0,12.29,667.06,C,C1,10.0,RENT,86000.0,Verified,other,19.96,0.0,697.0,0.0,10.0,1.0,17167.0,43.6,20.0,1
15000.0,36.0,10.49,487.47,B,B3,10.0,RENT,124140.0,Source Verified,debt_consolidation,9.62,0.0,672.0,0.0,6.0,1.0,1106.0,12.2,23.0,0
18000.0,60.0,20.0,476.89,D,D4,5.0,MORTGAGE,170000.0,Verified,debt_consolidation,24.5,0.0,672.0,1.0,23.0,1.0,29257.0,39.7,80.0,0
36000.0,60.0,10.42,772.36,B,B3,4.0,MORTGAGE,70200.0,Verified,debt_consolidation,12.61,0.0,717.0,1.0,17.0,0.0,4756.0,7.9,30.0,0
9500.0,36.0,6.99,293.29,A,A2,0.0,RENT,68000.0,Source Verified,credit_card,9.14,0.0,742.0,0.0,3.0,0.0,8252.0,54.3,11.0,0
16800.0,36.0,10.42,545.41,B,B3,1.0,RENT,85000.0,Not Verified,debt_consolidation,25.67,0.0,697.0,1.0,14.0,0.0,9334.0,34.0,19.0,0
13000.0,36.0,11.47,428.51,B,B5,1.0,MORTGAGE,70000.0,Source Verified,debt_consolidation,18.96,0.0,682.0,1.0,10.0,0.0,18465.0,86.7,31.0,0
11000.0,36.0,10.49,357.48,B,B3,10.0,RENT,37000.0,Source Verified,debt_consolidation,16.19,0.0,667.0,0.0,5.0,1.0,11066.0,79.0,7.0,0
12000.0,36.0,10.99,392.81,B,B2,5.0,RENT,40000.0,Not Verified,credit_card,23.53,0.0,717.0,0.0,10.0,0.0,10873.0,61.1,18.0,0
12000.0,36.0,15.61,419.58,C,C4,6.0,MORTGAGE,115000.0,Verified,debt_consolidation,15.53,0.0,682.0,3.0,10.0,0.0,19283.0,61.8,25.0,0
16000.0,36.0,8.24,503.16,B,B1,10.0,RENT,71000.0,Source Verified,credit_card,15.88,2.0,672.0,0.0,18.0,0.0,16247.0,56.4,32.0,0
13500.0,36.0,11.67,446.27,B,B4,3.0,MORTGAGE,55676.0,Source Verified,credit_card,17.65,0.0,682.0,0.0,8.0,1.0,10217.0,91.2,17.0,0
18000.0,60.0,9.99,382.36,B,B3,1.0,RENT,58000.0,Source Verified,credit_card,20.15,0.0,682.0,0.0,12.0,0.0,14069.0,57.2,22.0,1
20000.0,60.0,15.61,482.23,D,D1,0.0,OWN,50000.0,Source Verified,credit_card,11.8,0.0,672.0,0.0,8.0,1.0,14332.0,71.7,19.0,1
14050.0,60.0,18.24,358.62,D,D5,2.0,RENT,32000.0,Source Verified,debt_consolidation,9.14,0.0,662.0,3.0,9.0,1.0,8535.0,46.9,20.0,0
10000.0,36.0,11.47,329.62,B,B5,0.0,RENT,37000.0,Verified,debt_consolidation,26.31,0.0,697.0,1.0,10.0,0.0,22405.0,49.7,13.0,0
16875.0,36.0,6.49,517.13,A,A2,7.0,RENT,98000.0,Not Verified,credit_card,18.09,0.0,702.0,1.0,13.0,0.0,18854.0,57.1,42.0,0
20000.0,60.0,13.66,461.85,C,C3,10.0,MORTGAGE,100000.0,Source Verified,debt_consolidation,20.76,0.0,687.0,0.0,12.0,0.0,26809.0,80.0,29.0,0
7000.0,36.0,12.59,234.48,C,C2,2.0,RENT,35000.0,Verified,debt_consolidation,33.37,1.0,672.0,1.0,17.0,0.0,9461.0,39.4,25.0,1
35000.0,60.0,20.49,936.86,E,E1,10.0,RENT,82884.0,Verified,debt_consolidation,25.44,0.0,702.0,0.0,9.0,0.0,27049.0,78.6,27.0,0
